GROCERYCUSTOMERGUID,FRENCHSTATE,POINT_IN_TIME
a2828c3b-036c-4e2e-9bd6-30c9ee9a20e3,Île-de-France,2022-06-01T00:01:00Z
c7bb3ef9-41fa-431d-b025-88c55e2d1030,Rhône-Alpes,2022-03-01T00:01:00Z
a030ecbe-10dc-446f-ab63-2e0984230f6e,Île-de-France,2022-05-01T00:01:00Z
1bbae663-e341-40b9-a05c-90845285276a,Provence-Alpes-Côte d'Azur,2022-12-01T00:01:00Z
edff62e2-dfc0-427e-8dd8-6869d9280302,Île-de-France,2022-10-01T00:01:00Z
d091162f-033b-4f1d-b12f-b053a54ee618,Midi-Pyrénées,2022-10-01T00:01:00Z
27225677-449c-4f78-b031-d5007e6c036c,Midi-Pyrénées,2022-10-01T00:01:00Z
2ea16cc7-dc4f-41c5-816a-c3f3fd08a5ae,Aquitaine,2022-09-01T00:01:00Z
f98e9293-22ed-408f-b06b-c0e6e53a3463,Auvergne,2022-08-01T00:01:00Z
fe40de3a-deab-4c0e-b72b-5dbcc0c1b040,Île-de-France,2022-09-01T00:01:00Z
9e5c2ead-2683-47cf-adde-0f315f2cf312,Bretagne,2022-03-01T00:01:00Z
af4c078f-b453-428a-8e72-c28142b420ac,Île-de-France,2022-05-01T00:01:00Z
6252c21a-e8f6-490a-a369-243989f3bb1c,Provence-Alpes-Côte d'Azur,2022-07-01T00:01:00Z
3bf80544-776d-4920-8c8c-41fa21f93442,Rhône-Alpes,2022-03-01T00:01:00Z
90aafc8a-2d76-49c9-9630-1c6ce8dc326b,Île-de-France,2022-12-01T00:01:00Z
10dd2435-f69e-4b55-9236-f79f8790ac13,Île-de-France,2022-05-01T00:01:00Z
6efaf018-2338-4246-a4d6-c969cd554d88,Île-de-France,2022-07-01T00:01:00Z
72e934f4-031f-4f00-a0aa-2d9ec1ea0aee,Centre,2022-10-01T00:01:00Z
22d37e8d-0e7b-41c0-94eb-95c9282ab041,Île-de-France,2022-12-01T00:01:00Z
c89dce7e-1b74-4b9e-9fd7-32eac69d97c9,Languedoc-Roussillon,2022-05-01T00:01:00Z
306f4ba8-63a7-4995-8c47-adaea26e3e65,Aquitaine,2022-07-01T00:01:00Z
33884d18-f47c-43f6-bed5-629d46fead08,Île-de-France,2022-09-01T00:01:00Z
1a69dfe7-a7dc-4977-af4f-c1684a3c1d9f,Lorraine,2022-02-01T00:01:00Z
d1ba2c8c-2da5-4160-a096-2567cf9360e4,Île-de-France,2022-06-01T00:01:00Z
34e14fac-c919-4903-8b04-eb0581810380,Provence-Alpes-Côte d'Azur,2022-12-01T00:01:00Z
d2baa36c-403f-49a2-af95-6bd327011044,Île-de-France,2022-05-01T00:01:00Z
b0ada4e7-1931-4ab2-9cd7-14bc787bab24,Nord-Pas-de-Calais,2022-07-01T00:01:00Z
6f3b7c84-95f0-45b3-afce-e6629ed05943,Île-de-France,2022-12-01T00:01:00Z
99f95661-118e-4ddd-8603-459e7563eed7,Île-de-France,2022-09-01T00:01:00Z
eeb7484f-d1be-4f2c-b85a-e3b2ab2a8497,Corse,2022-05-01T00:01:00Z
a909f5cd-beb4-4a23-9606-cabdd5a8f785,Rhône-Alpes,2022-05-01T00:01:00Z
cc043248-80f1-4371-80af-871a8805920c,Provence-Alpes-Côte d'Azur,2022-08-01T00:01:00Z
29db9631-5d9b-451b-b4f4-424636d0cba3,Centre,2022-04-01T00:01:00Z
ec729e6c-3303-485b-b277-7f09d4cee80c,Guadeloupe,2022-08-01T00:01:00Z
c197cc23-a3b4-4cb6-b4c3-f74bc0eface4,Rhône-Alpes,2022-02-01T00:01:00Z
76701668-5e1e-4c56-ab15-0f7f0505eca2,Guyane,2022-05-01T00:01:00Z
285d4451-0d44-4ad8-8e85-3983c884f53a,Île-de-France,2022-08-01T00:01:00Z
a322283a-8719-4170-a578-96e33673f5e6,Alsace,2022-12-01T00:01:00Z
20261525-3f0e-4034-9b68-2a54b094fb57,Haute-Normandie,2022-03-01T00:01:00Z
59750cfb-ecb9-4be2-a519-c1cfe59b3697,Midi-Pyrénées,2022-04-01T00:01:00Z
9057fe09-0d86-4f1d-bccc-b4925154b733,Île-de-France,2022-02-01T00:01:00Z
79af954f-76b0-4204-9fb1-5f2d094c5353,Île-de-France,2022-02-01T00:01:00Z
e6bd8bb7-fdeb-4ca3-b24f-f33e4d80aa52,Île-de-France,2022-02-01T00:01:00Z
80a99891-3cee-4c16-9520-e4dd3384bb18,Île-de-France,2022-09-01T00:01:00Z
e6bd8bb7-fdeb-4ca3-b24f-f33e4d80aa52,Île-de-France,2022-10-01T00:01:00Z
4d0ff51b-df41-4fa9-a48b-ea3463c45a0d,Île-de-France,2022-08-01T00:01:00Z
36a85752-a786-465b-bdab-9b5a09d0a0cd,Île-de-France,2022-10-01T00:01:00Z
a142cc86-3e3c-469b-872e-ed97a7803baa,Guadeloupe,2022-12-01T00:01:00Z
f02aff8d-5188-4ff8-8f8e-a2ce2e8ffbff,Île-de-France,2022-10-01T00:01:00Z
a75103ef-3236-424e-8714-bfcae8345071,Martinique,2022-06-01T00:01:00Z
01e20812-bfb3-4ea6-8177-daf0e6796049,Provence-Alpes-Côte d'Azur,2022-11-01T00:01:00Z
22d37e8d-0e7b-41c0-94eb-95c9282ab041,Île-de-France,2022-05-01T00:01:00Z
542727a4-d992-4279-a253-19251823f6da,Île-de-France,2022-12-01T00:01:00Z
130a7d3d-3245-45e6-9a32-8a3974c1af75,Île-de-France,2022-08-01T00:01:00Z
1618bdb9-882f-4489-a45f-6d29e60ee5c3,Guyane,2022-05-01T00:01:00Z
7cc5b9fd-7719-417b-a343-7c87466a74a6,Haute-Normandie,2022-12-01T00:01:00Z
09886f48-597b-4a78-9fbd-65b9c120b709,Île-de-France,2022-05-01T00:01:00Z
a433fc52-ae8f-4875-bd10-052cc93cf9c2,Provence-Alpes-Côte d'Azur,2022-10-01T00:01:00Z
90851471-b483-409a-8264-0a26cc89d30f,Provence-Alpes-Côte d'Azur,2022-07-01T00:01:00Z
9fe3df44-9060-4f12-a37b-1394d3849f56,Nord-Pas-de-Calais,2022-08-01T00:01:00Z
b1f25cd5-91b1-4911-8ac1-71fbbb778a02,Île-de-France,2022-12-01T00:01:00Z
542e2055-5041-4438-9626-1d2d536490a6,Île-de-France,2022-05-01T00:01:00Z
592c4264-8a00-4bf6-b5b2-af4a659fd4ef,Basse-Normandie,2022-03-01T00:01:00Z
aabf93a1-3816-4089-ad99-2cb294301ba5,Haute-Normandie,2022-09-01T00:01:00Z
555457e6-3a90-4819-b3a7-c23913d617dc,Île-de-France,2022-04-01T00:01:00Z
fbbb4b61-8c26-4a1f-8a4f-1543812c8664,Rhône-Alpes,2022-12-01T00:01:00Z
571403f3-5255-47db-987f-91090291fd74,Bourgogne,2022-04-01T00:01:00Z
e5ca3459-b68a-4405-a3d0-a230d905656d,Rhône-Alpes,2022-07-01T00:01:00Z
8263c89e-6716-40fd-b714-ed3b09f97a8a,Île-de-France,2022-12-01T00:01:00Z
4df6d77c-f7f9-4718-855d-df5b3f077bdf,Bourgogne,2022-10-01T00:01:00Z
97c020d6-bb93-440d-86fd-3fd9fa902012,Île-de-France,2022-04-01T00:01:00Z
fd430088-8ae7-43f6-b0d7-a8704538521f,Provence-Alpes-Côte d'Azur,2022-02-01T00:01:00Z
15ac0b63-0778-445a-95e5-199633102a79,Île-de-France,2022-08-01T00:01:00Z
84c309d1-f650-47b6-9e73-b6c04a722ac3,Centre,2022-06-01T00:01:00Z
bcd8c266-afea-4a94-aceb-e6b17ae99fe4,Île-de-France,2022-07-01T00:01:00Z
945bdca1-a359-4a14-bff5-4d4130079c7f,Rhône-Alpes,2022-08-01T00:01:00Z
4b0c3ebd-528f-4210-81ff-293dfe5bfba0,Rhône-Alpes,2022-06-01T00:01:00Z
8bdd4922-77c5-43c3-b49e-cc5ff4292276,Rhône-Alpes,2022-12-01T00:01:00Z
a0595b5d-33da-49c1-aab1-f8dded8d1c3a,Alsace,2022-07-01T00:01:00Z
bd7d3471-0fb7-480e-a634-077cecad53b0,Île-de-France,2022-11-01T00:01:00Z
ae69c8c8-fefb-4628-85a8-8f3c46795a27,Mayotte,2022-10-01T00:01:00Z
4ecba979-5242-4f73-859f-5334038fb043,Nord-Pas-de-Calais,2022-08-01T00:01:00Z
bc9ff40b-93fb-4e4a-b9ae-a670e9d9af69,Île-de-France,2022-07-01T00:01:00Z
70f67cf0-804b-4743-b78c-2092f40cae2f,Île-de-France,2022-09-01T00:01:00Z
b9204e46-6d95-4f4a-8f99-b7d10f948997,Rhône-Alpes,2022-11-01T00:01:00Z
df7f81b2-a83d-4452-8ef7-05978eb0b601,Rhône-Alpes,2022-05-01T00:01:00Z
98c4027c-bf62-4dc3-bceb-aa8e5d500ed3,Provence-Alpes-Côte d'Azur,2022-04-01T00:01:00Z
1fd8d624-bdba-4b6d-ae59-1363b559721e,Alsace,2022-05-01T00:01:00Z
050cb608-3871-4c42-90d5-00dab6c34378,Île-de-France,2022-12-01T00:01:00Z
8bc686a6-eeb1-427a-b9c2-98abe30d4004,Rhône-Alpes,2022-07-01T00:01:00Z
96d255d5-b89a-49d1-887a-16f718d7427c,Guyane,2022-03-01T00:01:00Z
fe40de3a-deab-4c0e-b72b-5dbcc0c1b040,Île-de-France,2022-04-01T00:01:00Z
0adea10c-08bc-4eca-b35e-fe69cd7a33fe,Île-de-France,2022-03-01T00:01:00Z
f7fc7bc5-9bec-49cd-85fc-3d270135d18c,Centre,2022-06-01T00:01:00Z
60699303-cce9-4f30-9b88-3edecb7d059a,Haute-Normandie,2022-12-01T00:01:00Z
b5f65fbd-5caf-47fb-9de4-95318362d3b1,Nord-Pas-de-Calais,2022-12-01T00:01:00Z
bf08f4d7-1ac0-42cd-80ae-ed77b4683fe9,Champagne-Ardenne,2022-06-01T00:01:00Z
6a438253-fe09-4d33-b9de-66494cb5e5c0,Bourgogne,2022-03-01T00:01:00Z
b062bcd5-b42a-4a03-b3ca-c90d1c9bf041,Île-de-France,2022-05-01T00:01:00Z
862d8a78-c5b2-4cf5-9e44-bd9c645424ff,Midi-Pyrénées,2022-08-01T00:01:00Z
de1ac18a-499f-4c4d-acb2-c5b703272509,Provence-Alpes-Côte d'Azur,2022-05-01T00:01:00Z
628307ea-9e2c-4092-8ce3-e61161fcd9e8,Aquitaine,2022-09-01T00:01:00Z
