BANKCUSTOMERID,STATECODE,POINT_IN_TIME
000580f4-11c7-4ec8-bdfb-b095cba26838,IL,2023-01-01 00:00:00
0014f634-14b6-4bed-a170-5c269bd8e132,MO,2023-01-01 00:00:00
001da409-ffd2-42f7-b1a1-b934afa17f6e,CO,2023-01-01 00:00:00
0023f677-2ac2-4f86-adda-8293ef6310a3,PA,2023-01-01 00:00:00
0024457d-2b73-4beb-82b1-60b272b1afa5,TX,2023-01-01 00:00:00
0024df6c-1da4-400f-a533-7e3ae24122d7,NY,2023-01-01 00:00:00
0031d3ff-7daa-4657-8884-14b57f27faa4,KY,2023-01-01 00:00:00
003c788f-a8d0-4492-8714-d3baf941bb58,IL,2023-01-01 00:00:00
003f3156-e426-4f98-9491-0ad5bebe1c93,CO,2023-01-01 00:00:00
0051d5bc-6f6b-4598-9328-46e4ed048c51,VA,2023-01-01 00:00:00
0057f824-044f-4aa0-b320-d3fae9cd8353,VA,2023-01-01 00:00:00
00591ccd-ce45-4c92-9d0e-cf38aa57b640,MD,2023-01-01 00:00:00
0064fb4f-06e9-48e6-aa12-ed77f8b55dad,WA,2023-01-01 00:00:00
0067b298-e792-4c2f-ab0f-6543774ac5b9,WI,2023-01-01 00:00:00
006b20e2-1466-49f3-a9aa-5cce220035d3,CA,2023-01-01 00:00:00
006bf94e-a4fe-487d-be30-682d317513e2,GA,2023-01-01 00:00:00
008db820-f50d-4160-a9ca-a65f1a141d5a,GA,2023-01-01 00:00:00
0092d40e-0c51-43cc-a0cc-db119d3e70dc,OH,2023-01-01 00:00:00
009b1586-242a-4a05-9c02-3574b836537b,SD,2023-01-01 00:00:00
00a1abbb-6aaa-404e-a9fa-2623f8cc04a7,CA,2023-01-01 00:00:00
00a4027d-19ce-4e1b-8bcf-8042f2a95d95,TX,2023-01-01 00:00:00
00a82ec3-3a91-4034-8b59-02a98a98e40c,NY,2023-01-01 00:00:00
00adc25f-089c-499a-be4d-bd6188196296,CA,2023-01-01 00:00:00
00b5658f-54b2-4281-b4ba-d5c20c625e7d,WY,2023-01-01 00:00:00
